"VARIANT_AR_ID"|"VARIANT_NO"|"ATTRIBUTE_VALUE_TX"|"ATTRIBUTE_UOM_CD"|"STRUCTUREGROUPNAME"|"MFR_PART_NO"|"DATASHEET_URL"
2165362|"101003432"|"3"|"V"|"Batteries"|"CEV-CR1632-TS"|http://www.houseofbatteries.com/documents/CR-Series%20Li-Mn02.pdf
2047449|"101005361"|"3"|"V"|"Batteries"|"CR-2032/HEN"|http://www.panasonic.com/industrial/includes/pdf/Panasonic_Lithium_CR2032_CR2330.pdf
5085928|"101005432"|"3.7"|"V"|"Batteries"|"56424201012SAMPLES"|http://www.varta-microbattery.com/applications/mb_data/documents/data_sheets/DS56424.pdf
5098971|"101005437"|"3.7"|"V"|"Batteries"|"56445701099SAMPLES"|http://www.varta-microbattery.com/applications/mb_data/documents/product_information/PI_56445701099.pdf
1917383|"101005360"|"3"|"V"|"Batteries"|"ML-2020/G1AN"|http://www.panasonic.com/industrial/includes/pdf/Panasonic_Lithium_ML2020.pdf
2872665|"101005798"|"3"|"V"|"Batteries"|"BR-2330A/GAN"|http://www.panasonic.com/industrial/includes/pdf/Panasonic_Lithium_BR2330A_BR2450A.pdf
1846265|"101011492"|"750"|"V"|"Capacitor Film"|"B32674D1155J"|http://www.epcos.com/inf/20/20/db/fc_2009/MKP_B32674_678.pdf
4036825|"101018255"|"3"|"V"|"Batteries"|"CR 2032 SC PCBS"|http://www.varta-microbattery.com/applications/mb_data/documents/data_sheets/DS6032.pdf
3187732|"101018352"|"1.5"|"V"|"Batteries"|"4114"|http://www.varta-microbattery.com/applications/mb_data/documents/data_sheets/DS4114.pdf
4440620|"101018371"|"4.8"|"V"|"Batteries"|"4/CP 300 H SK S ST"|http://www.varta-microbattery.com/applications/mb_data/documents/product_information/PI_55630304060.pdf
3911156|"101018510"|"1.2"|"V"|"Batteries"|"6/VH1300 L S WC"|http://www.varta-microbattery.com/applications/mb_data/documents/data_sheets/DS55115.pdf
4627949|"101018513"|"3"|"V"|"Batteries"|"2/CR 1/3 N SK S TP"|http://www.varta-microbattery.com/applications/mb_data/documents/data_sheets/DS6131.pdf
3259561|"101018677"|"3"|"V"|"Batteries"|"CR 1/3 N S"|http://www.varta-microbattery.com/en/mb_data/documents/data_sheets/DS6131.pdf
3602829|"101018679"|"3"|"V"|"Batteries"|"CR2450 PCB"|http://www.varta-microbattery.com/applications/mb_data/documents/data_sheets/DS6450.pdf
4250112|"101018808"|"1.2"|"V"|"Batteries"|"2/V 80 H SK SC PCBD"|http://www.varta-microbattery.com/applications/mb_data/documents/data_sheets/DS55608.pdf
3891941|"101018368"|"1.5"|"V"|"Batteries"|"4120"|http://www.varta-microbattery.com/applications/mb_data/documents/data_sheets/DS4120.PDF
4265160|"101018374"|"1.2"|"V"|"Batteries"|"4/V 80 H SK S PCBD"|http://www.varta-microbattery.com/applications/mb_data/documents/data_sheets/DS55608.pdf
4035593|"101018511"|"1.2"|"V"|"Batteries"|"2/VH1600 L S WC"|http://www.varta-microbattery.com/applications/mb_data/documents/data_sheets/DS55119.pdf
2389812|"101018803"|"1.55"|"V"|"Batteries"|"V 390 MF"|http://www.varta-microbattery.com/applications/mb_data/documents/data_sheets/DS20390.pdf
2265350|"101018802"|"3.6"|"V"|"Batteries"|"703709"|http://www.varta-microbattery.com/applications/mb_data/documents/data_sheets/DS7126.pdf
3008048|"101018804"|"3.7"|"V"|"Batteries"|"EASYPACK-XL"|http://www.varta-microbattery.com/applications/mb_data/documents/product_information/PI_56446702099.pdf
2389328|"101019699"|"3"|"V"|"Batteries"|"CR-2032/F4N"|http://www.panasonic.com/industrial/includes/pdf/Panasonic_Lithium_CR2032_CR2330.pdf
2284580|"101019698"|"3"|"V"|"Batteries"|"CR-2032L/F1N"|http://www.panasonic.com/industrial/includes/pdf/Panasonic_Lithium_CR2032_CR2330.pdf
4727905|"101026840"|"875"|"V"|"Capacitor Film"|"B32796G8106J000"|http://www.epcos.com/inf/20/20/db/fc_2009/MKP_B32794_798.pdf
5151610|"101039737"|"11.25"|"V"|"Batteries"|"RRC2040"|http://www.rrc-ps.com/fileadmin/Dokumente/Batteriepacks/DS_RRC2040_A.pdf
5099309|"101039741"|"11.25"|"V"|"Batteries"|"RRC2020"|http://www.rrc-ps.com/fileadmin/Dokumente/Batteriepacks/DS_RRC2020_A.pdf
4628643|"101039761"|"3.6"|"V"|"Batteries"|"SL-761/P"|http://www.tadiranbatteries.de/pdf/SL-761eng.pdf
3244599|"101039807"|"3.6"|"V"|"Batteries"|"SL-886/P"|http://www.tadiranbatteries.de/eng/downloads/LITHIUM/pdc06engSL-886.pdf
4628718|"101039825"|"3.6"|"V"|"Batteries"|"SL-2770/P"|http://www.tadiranbatteries.de/pdf/SL-2770eng.pdf
3258588|"101043573"|"3.7"|"V"|"Batteries"|"56493201012"|http://www.varta-microbattery.com/applications/mb_data/documents/product_information/PI_56493201012.pdf
5078510|"101039740"|"14.4"|"V"|"Batteries"|"RRC2024"|http://www.rrc-ps.com/fileadmin/Dokumente/Batteriepacks/DS_RRC2024_A.pdf
4444046|"101039747"|"3.6"|"V"|"Batteries"|"SL-760/PT"|http://www.tadiranbatteries.de/pdf/SL-760eng.pdf
4034936|"101039749"|"3.6"|"V"|"Batteries"|"SL-560/T"|http://www.tadiranbatteries.de/pdf/pdc06engsl-560.pdf
4372528|"101039751"|"3.6"|"V"|"Batteries"|"SL-840/P"|http://www.tadiranbatteries.de/eng/downloads/LITHIUM/pdc06engSL-840.pdf
4038438|"101039759"|"3.6"|"V"|"Batteries"|"SL-750/T"|http://www.tadiranbatteries.de/pdf/SL-750eng.pdf
4724626|"101039763"|"3.6"|"V"|"Batteries"|"SL-560/P"|http://www.tadiranbatteries.de/pdf/pdc06engsl-560.pdf
4475160|"101039764"|"3.6"|"V"|"Batteries"|"SL-861/PR"|http://www.tadiranbatteries.de/eng/downloads/LITHIUM/pdc06engSL-861.pdf
4504101|"101039765"|"3.6"|"V"|"Batteries"|"SL-361/PT"|http://www.tadiranbatteries.de/pdf/pdc06engsl-361.pdf
4665768|"101039767"|"3.6"|"V"|"Batteries"|"SL-760/T"|http://www.tadiranbatteries.de/pdf/SL-760eng.pdf
5135143|"101039800"|"3.6"|"V"|"Batteries"|"SL-360/T"|http://www.tadiranbatteries.de/pdf/pdc06engsl-360.pdf
3516481|"101039803"|"3.6"|"V"|"Batteries"|"SL-560/PT"|http://www.tadiranbatteries.de/pdf/pdc06engsl-560.pdf
5099574|"101039805"|"3.6"|"V"|"Batteries"|"SL-350/S"|http://www.tadiranbatteries.de/pdf/pdc06engsl-350.pdf
5206257|"101039806"|"3.6"|"V"|"Batteries"|"SL-350/P"|http://www.tadiranbatteries.de/pdf/pdc06engsl-350.pdf
4197529|"101039809"|"4.1"|"V"|"Batteries"|"TLM-1520HP/TP"|http://www.tadiranbatteries.de/eng/downloads/tlm/TLM-1520HP.pdf
4444381|"101039811"|"3.6"|"V"|"Batteries"|"SL-2780/S"|http://www.tadiranbatteries.de/pdf/SL-2780eng.pdf
4005936|"101039812"|"3.6"|"V"|"Batteries"|"SL-750/PT"|http://www.tadiranbatteries.de/pdf/SL-750eng.pdf
4032352|"101039813"|"3.95"|"V"|"Batteries"|"HLC-1550A/T"|http://www.tadiranbat.com/pdf.php?id=HLC-1550A
4372716|"101039815"|"3.6"|"V"|"Batteries"|"SL-561/PT"|http://www.tadiranbatteries.de/pdf/pdc06engsl-561.pdf
3842970|"101039816"|"3.6"|"V"|"Batteries"|"SL-2770/S"|http://www.tadiranbatteries.de/pdf/SL-2770eng.pdf
4241025|"101039819"|"3.6"|"V"|"Batteries"|"SL-360/PT"|http://www.tadiranbatteries.de/pdf/pdc06engsl-360.pdf
4038912|"101039823"|"3.6"|"V"|"Batteries"|"TL-4935/P"|http://www.tadiranbat.com/pdf.php?id=TL-4935
4724636|"101039827"|"3.6"|"V"|"Batteries"|"TLH-5934"|http://www.tadiranbat.com/pdf.php?id=TLH-5934
4504466|"101039829"|"3.6"|"V"|"Batteries"|"SL-2770/T"|http://www.tadiranbatteries.de/pdf/SL-2770eng.pdf
4665862|"101040087"|"2"|"V"|"Batteries"|"0840-0004"|http://www.enersysreservepower.com/documents/US-CYC-SG-003_0608.pdf
2587788|"101040111"|"12"|"V"|"Batteries"|"PC1500DT"|http://www.odysseybattery.com/documents/US-EXT-PG-002_0113_001.pdf
2376363|"101040114"|"6"|"V"|"Batteries"|"AGP-0809-0012"|http://www.enersysreservepower.com/documents/US-CYC-SG-003_0608.pdf
2393523|"101040115"|"12"|"V"|"Batteries"|"NPX-25"|http://www.enersysreservepower.com/documents/us-np-rs-004_0308.pdf
3260343|"101040117"|"12"|"V"|"Batteries"|"NP5-12WT"|http://www.enersysreservepower.com/documents/us-np-rs-004_0308.pdf
5146899|"101042937"|"1.2"|"V"|"Batteries"|"55602101501"|http://www.varta-microbattery.com/applications/mb_data/documents/product_information/PI_55602603060.pdf
