"VARIANT_AR_ID"|"VARIANT_NO"|"ATTRIBUTE_VALUE_TX"|"ATTRIBUTE_UOM_CD"|"STRUCTUREGROUPNAME"|"MFR_PART_NO"|"DATASHEET_URL"
2891162|"101015522"|"440|480"|"Vac"|"Capacitor Film"|"B25667C4207A375"|http://www.epcos.com/inf/20/50/ds/B25667C4207A375.pdf
4200880|"101064582"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1206CC272KAZ1A"|https://www.avx.com/docs/catalogs/cx5r.pdf
2215878|"101080352"|"13.5|27"|"V"|"Batteries"|"CSF-BA5590B/U"|http://www.houseofbatteries.com/documents/BA5590BU.pdf
3998550|"101097724"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1206CC471KAZ1A"|https://www.avx.com/docs/catalogs/cx5r.pdf
3792974|"101110926"|"50|63"|"V"|"Capacitor Ceramic Multilayer"|"DSU1206R225KN"|http://www.dubilier.co.uk/Data/Product_Downloads/DS%20Series.pdf
2552692|"101115813"|"400|230"|"Vac"|"Capacitor Film"|"B25667C3297A375"|http://www.epcos.com/inf/20/50/ds/B25667C3297A375.pdf
3695005|"101118285"|"50|63"|"V"|"Capacitor Ceramic Multilayer"|"A620CD0332JNC"|http://www.avx.com/docs/masterpubs/eurospace.pdf
4037792|"101118287"|"50|63"|"V"|"Capacitor Ceramic Multilayer"|"A620CD0152JNC"|http://www.avx.com/docs/masterpubs/eurospace.pdf
4459882|"101118288"|"50|63"|"V"|"Capacitor Ceramic Multilayer"|"A620CD0222JNC"|http://www.avx.com/docs/masterpubs/eurospace.pdf
2918019|"101133415"|"480|525"|"Vac"|"Capacitor Film"|"B25667C5237A375"|http://www.epcos.com/inf/20/50/ds/B25667C5237A375.pdf
2552422|"101166757"|"300|440"|"Vac"|"Capacitor Ceramic Singlelayer"|"AY2102M29Y5US63L7"|http://www.vishay.com/docs/28550/ay2series.pdf
1788119|"101167024"|"760|500"|"Vac"|"Capacitor Ceramic Singlelayer"|"C961U222MWWDBA7317"|http://capacitoredge.kemet.com/capedge2/DataSheet/Datasheet-C961U222MWWDBA7317.pdf?pn=C961U222MWWDBA7317
2640435|"101186272"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1210CA152KAT1A"|http://www.avx.com/docs/Catalogs/cauto.pdf
3565433|"101186294"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CC333KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
3605135|"101186295"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"1808CA222KAT1A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
5151660|"101186297"|"600|630"|"V"|"Capacitor Ceramic Multilayer"|"2225CA223JAT16"|http://www.avx.com/docs/Catalogs/aphvc.pdf
12962097|"101194730"|"760|500"|"Vac"|"Capacitor Ceramic Singlelayer"|"C961U222MWWDAAWL20"|http://capacitoredge.kemet.com/capedge2/DataSheet/Datasheet-C961U222MWWDAAWL20.pdf?pn=C961U222MWWDAAWL20
12962365|"101195114"|"440|300"|"Vac"|"Capacitor Ceramic Singlelayer"|"VY2102M29Y5UG6UV5"|http://www.vishay.com/docs/28535/vy2series.pdf
12962509|"101195116"|"440|300"|"Vac"|"Capacitor Ceramic Singlelayer"|"VY2471K29Y5SG6UV0"|http://www.vishay.com/docs/28535/vy2series.pdf
13129346|"101205141"|"50|63"|"Vdc"|"Capacitor Ceramic Multilayer"|"AD20ZD0473K2K"|http://www.avx.com/docs/catalogs/SpaceBME.pdf
13129290|"101205144"|"50|63"|"Vdc"|"Capacitor Ceramic Multilayer"|"AD20ZD0333K2K"|http://www.avx.com/docs/catalogs/SpaceBME.pdf
13722846|"101215932"|"50|63"|"V"|"Capacitor Ceramic Multilayer"|"DSU0603R123JN"|http://www.dubilier.co.uk/Data/Product_Downloads/DS%20Series.pdf
13448854|"101228440"|"300|440"|"Vac"|"Capacitor Ceramic Singlelayer"|"VY2332M41Y5UG63V7"|http://www.vishay.com/docs/28535/vy2series.pdf
13836886|"101228752"|"50|63"|"V"|"Capacitor Ceramic Multilayer"|"DSU0603C3R9BN"|http://www.dubilier.co.uk/Data/Product_Downloads/DS%20Series.pdf
13836919|"101228749"|"50|63"|"V"|"Capacitor Ceramic Multilayer"|"DSU1206C3R9BN"|http://www.dubilier.co.uk/Data/Product_Downloads/DS%20Series.pdf
13451217|"101234380"|"415|440"|"Vac"|"Capacitor Film"|"B25667C4237A375"|http://en.tdk.eu/inf/20/50/ds/B25667C4237A375.pdf
13451175|"101234381"|"400|415"|"Vac"|"Capacitor Film"|"B25667C4197A375"|http://en.tdk.eu/inf/20/50/ds/B25667C4197A375.pdf
13451287|"101234594"|"400|415|525"|"Vac"|"Capacitor Film"|"B25667C5966A375"|http://en.tdk.eu/inf/20/50/ds/B25667C5966A375.pdf
13451294|"101234599"|"415|480|525"|"Vac"|"Capacitor Film"|"B25667C5127A375"|http://en.tdk.eu/inf/20/50/ds/B25667C5127A375.pdf
13451296|"101234600"|"440|525"|"Vac"|"Capacitor Film"|"B25667C5147A175"|http://en.tdk.eu/inf/20/50/ds/B25667C5147A175.pdf
13517074|"101238948"|"630|600"|"V"|"Capacitor Ceramic Multilayer"|"1812CC224KAT2A"|http://www.avx.com/docs/Catalogs/aphvc.pdf
13701920|"101265042"|"760|500"|"Vac"|"Capacitor Ceramic Singlelayer"|"VY1472M63Y5UG6UV0"|http://www.vishay.com/docs/28537/vy1series.pdf
13735079|"101266144"|"400|250"|"Vac"|"Capacitor Ceramic Singlelayer"|"C971U472MUWDBA7317"|http://capacitoredge.kemet.com/capedge2/DataSheet/Datasheet-C971U472MUWDBA7317.pdf?pn=C971U472MUWDBA7317
13735080|"101266145"|"400|250"|"Vac"|"Capacitor Ceramic Singlelayer"|"C971U472MUWDBAWL40"|http://capacitoredge.kemet.com/capedge2/DataSheet/Datasheet-C971U472MUWDBAWL40.pdf?pn=C971U472MUWDBAWL40
