"VARIANT_AR_ID"|"VARIANT_NO"|"ATTRIBUTE_VALUE_TX"|"ATTRIBUTE_UOM_CD"|"STRUCTUREGROUPNAME"|"MFR_PART_NO"|"DATASHEET_URL"
4665494|"101005399"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"VY1472M63Y5UG63V0"|http://www.vishay.com/docs/28537/vy1series.pdf
3788915|"101012430"|"250|300"|"Vac|Vac"|"Capacitor Misc"|"FN7511-32-M4"|http://www.schaffner.com/de/produkte/datasheet-high-res/product/fn-751x-ac-feedthrough-capacitor.html
3243236|"101032799"|"440|300"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"VY2471K29Y5SS6UL7A"|http://www.vishay.com/docs/28535/vy2series.pdf
2506021|"101032796"|"440|300"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"VY2472M49Y5US6TL7"|http://www.vishay.com/docs/28535/vy2series.pdf
3099754|"101032798"|"440|300"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"VY2471K29Y5SS6UL0"|http://www.vishay.com/docs/28535/vy2series.pdf
3044576|"101039138"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP222MCPYH0KR"|http://www.vishay.com/docs/22206/wkp.pdf
3171972|"101090852"|"300|440"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"VY2332M41Y5US65V7"|http://www.vishay.com/docs/28535/emirfiy2.pdf
2234061|"101099940"|"400|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"C967U472MYWDBA7317"|http://www.kemet.com/kemet/web/homepage/kechome.nsf/vapubfiles/KEM_C1064_X1_400%20VAC_Y2_250%20VAC.pdf/$file/KEM_C1064_X1_400%20VAC_Y2_250%20VAC.pdf
2310273|"101117732"|"440|300"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"C967U682MZVDCAWL35"|http://capacitoredge.kemet.com/capedge2/DataSheet/Datasheet-C967U682MZVDCAWL35.pdf?pn=C967U682MZVDCAWL35
2809581|"101117734"|"440|300"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"C901U471KZYDCAWL35"|http://capacitoredge.kemet.com/capedge2/DataSheet/Datasheet-C901U471KZYDCAWL35.pdf?pn=C901U471KZYDCAWL35
2391052|"101130094"|"400|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"C901U222MYVDBA7317"|http://capacitoredge.kemet.com/capedge2/DataSheet/Datasheet-C901U222MYVDBA7317.pdf?pn=C901U222MYVDBA7317
1946493|"101136602"|"400|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"C901U102MUVDBA7317"|http://capacitoredge.kemet.com/capedge2/DataSheet/Datasheet-C901U102MUVDBA7317.pdf?pn=C901U102MUVDBA7317
1996505|"101136603"|"400|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"C911U471KUYDAA7317"|http://capacitoredge.kemet.com/capedge2/DataSheet/Datasheet-C911U471KUYDAA7317.pdf?pn=C911U471KUYDAA7317
4024929|"101138831"|"400|250"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"C901U151KUYDAA7317"|http://capacitoredge.kemet.com/capedge2/DataSheet/Datasheet-C901U151KUYDAA7317.pdf?pn=C901U151KUYDAA7317
13125783|"101139470"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"VY1102M35Y5UG63V0"|http://www.vishay.com/docs/28537/vy1series.pdf
3594143|"101140087"|"440|480"|"Vac|Vac"|"Capacitor Film"|"B25667C4277A375"|http://www.epcos.com/inf/20/50/ds/B25667C4277A375.pdf
2253291|"101140014"|"440|300"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"C961U682MZVDBA7317"|http://capacitoredge.kemet.com/capedge2/DataSheet/Datasheet-C961U682MZVDBA7317.pdf?pn=C961U682MZVDBA7317
5149512|"101149369"|"440|300"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"C907U222MZVDBA7317"|http://capacitoredge.kemet.com/capedge2/DataSheet/Datasheet-C907U222MZVDBA7317.pdf?pn=C907U222MZVDBA7317
4136814|"101149436"|"440|300"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"C907U102MZVDBA7317"|http://capacitoredge.kemet.com/capedge2/DataSheet/Datasheet-C907U102MZVDBA7317.pdf?pn=C907U102MZVDBA7317
3871506|"101149641"|"440|300"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"C941U472MZVDBA7317"|http://capacitoredge.kemet.com/capedge2/DataSheet/Datasheet-C941U472MZVDBA7317.pdf?pn=C941U472MZVDBA7317
3514700|"101151931"|"440|300"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"C981U103MZVDBA7317"|http://capacitoredge.kemet.com/capedge2/DataSheet/Datasheet-C981U103MZVDBA7317.pdf?pn=C981U103MZVDBA7317
4649554|"101174994"|"560|275"|"Vac|Vac"|"Capacitor Film"|"R46KR42205001K"|http://www.kemet.com/Lists/ProductCatalog/Attachments/495/KEM_F3093_R46_X2_275_110C.pdf
2744578|"101180326"|"760|500"|"Vac|Vac"|"Capacitor Ceramic Singlelayer"|"WKP472MCPDRYKR"|http://www.vishay.com/docs/22206/wkp.pdf
