"VARIANT_AR_ID"|"VARIANT_NO"|"ATTRIBUTE_VALUE_TX"|"ATTRIBUTE_UOM_CD"|"STRUCTUREGROUPNAME"|"MFR_PART_NO"|"DATASHEET_URL"
13588846|"23309281"|"100|63"|"Vdc/Vac"|"Capacitor Film"|"B32560J1105K"|http://www.epcos.com/inf/20/20/db/fc_2009/MKT_B32560_564.pdf
13588816|"23310157"|"400|200"|"Vdc/Vac"|"Capacitor Film"|"B32562J6684K"|http://www.epcos.com/inf/20/20/db/fc_05/MKT_B32560_64.pdf
13588835|"23309230"|"63|40"|"Vdc/Vac"|"Capacitor Film"|"B32560J225K"|http://www.epcos.com/inf/20/20/db/fc_05/MKT_B32560_64.pdf
13588839|"23309231"|"400|200"|"Vdc/Vac"|"Capacitor Film"|"B32560J6332K"|http://www.epcos.com/inf/20/20/db/fc_2009/MKT_B32560_564.pdf
13588817|"23310380"|"250|160"|"Vdc/Vac"|"Capacitor Film"|"B32560J3683K"|http://www.epcos.com/inf/20/20/db/fc_2009/MKT_B32560_564.pdf
13588818|"23310562"|"400|200"|"Vdc/Vac"|"Capacitor Film"|"B32562J6474K"|http://www.epcos.com/inf/20/20/db/fc_2009/MKT_B32560_564.pdf
13588597|"23309302"|"100|63"|"Vdc/Vac"|"Capacitor Film"|"B32561J1334K"|http://www.epcos.com/inf/20/20/db/fc_05/MKT_B32560_64.pdf
13588601|"23309447"|"400|200"|"Vdc/Vac"|"Capacitor Film"|"B32562J6154K"|http://www.epcos.com/inf/20/20/db/fc_05/MKT_B32560_64.pdf
13588602|"23309547"|"400|200"|"Vdc/Vac"|"Capacitor Film"|"B32562J6104K"|http://www.epcos.com/inf/20/20/db/fc_05/MKT_B32560_64.pdf
13588603|"23309585"|"250|160"|"Vdc/Vac"|"Capacitor Film"|"B32562J3684K"|http://www.epcos.com/inf/20/20/db/fc_2009/MKT_B32560_564.pdf
13588820|"23320665"|"250|160"|"Vdc/Vac"|"Capacitor Film"|"B32521-C3473-J"|http://www.epcos.com/inf/20/20/db/fc_2009/MKT_B32520_529.pdf
13588821|"23320882"|"400|200"|"Vdc/Vac"|"Capacitor Film"|"B32520C6183J"|http://www.epcos.com/inf/20/20/db/fc_2009/MKT_B32520_529.pdf
13588822|"23321065"|"400|200"|"Vdc/Vac"|"Capacitor Film"|"B32521-C6683-K"|http://www.epcos.com/inf/20/20/db/fc_05/MKT_B32520_29.pdf
